CourseCode,ShortTitle,LongTitle,BeginTime,EndTime,Meets,Building,Room,Enrollment,Capacity
EDUC 342  A,EARLY CHILD C&I,EARLY CHILDHOOD CURR & INSTRUCT,18:30:00,21:00:00,T,HAL,105,20,20
EDUC 343  A,TRENDS-EARLY CH,TRENDS/ISSUES-EARLY CHILD ED,18:30:00,21:00:00,T,HAL,101,23,27
EDUC 360  A,INDEPENDENT STU,INDEPENDENT STUDY,NULL,NULL,,NULL,NULL,1,1
EDUC 371  A,FLD EXP SEC,FIELD EXP SEC (1ST  LEVEL),NULL,NULL,,NULL,NULL,14,16
EDUC 372  A,FLD EXP SEC,FIELD EXP SEC (2ND LEVEL) MUSI ONLY,NULL,NULL,,NULL,NULL,7,8
EDUC 372  B,FLD EXP SEC,FIELD EXP SEC (2ND LEVEL) LANG ONLY,NULL,NULL,,NULL,NULL,2,2
EDUC 373  A,FLD EXP SEC,FIELD EXP SEC (3RD LEVEL),NULL,NULL,,NULL,NULL,3,3
EDUC 373  B,FLD EXP SEC,FIELD EXP SEC (3RD LEVEL),NULL,NULL,,NULL,NULL,2,2
EDUC 381  A,FLD EXP ELEM,FIELD EXP ELEM  (1ST LEVEL),NULL,NULL,,NULL,NULL,14,16
EDUC 382  A,FLD EXP ELEM II,FIELD EXP ELEM (2ND LEVEL),NULL,NULL,,NULL,NULL,19,22
EDUC 383  A,FLD EXP ELEM,FIELD EXP ELEM (3RD LEVEL),NULL,NULL,,NULL,NULL,16,19
EDUC 385  A,FLD EXP FRGN,EARLY CHLDHD FIELD EXP (2ND LEVEL),NULL,NULL,,HAL,104,2,2
EDUC 390  A,STDY: MISSION,STUDY: EDUC FOR THE MISSION FIELD,13:00:00,14:15:00,T,HAL,306,24,28
EDUC 431  A,STU TCHG-SEC,STUDENT TEACHING-SECONDARY,16:30:00,18:00:00,M,HAL,110,9,10
EDUC 435  A,STU TCHG-EL MUS,STUDENT TEACHING-ELEM MUSIC,16:00:00,17:15:00,T,PFAC,70,6,7
EDUC 437  A,STU TCH-SEC MUS,STUDENT TEACHING-SECONDARY MUSIC,16:00:00,17:30:00,,PFAC,70,6,7
EDUC 441  A,EL STU T-PRIM,ELEM STUDENT TCHG-PRIMARY,15:00:00,15:50:00,M,HAL,114,20,24
EDUC 442  A,STU TCH- ML I,STUDENT TEACHING MIDDLE LEVEL I,15:00:00,17:00:00,,HAL,114,4,4
EDUC 443  A,EL STU T-INTM,ELEM STUDENT TCHG-INTERMED,15:00:00,15:50:00,M,HAL,114,8,8
EDUC 444  A,STU TCH ML II,STUDENT TEACHING MIDDLE LEVEL II,15:00:00,17:00:00,M,HAL,114,4,4
EDUC 488  A,SEM:ISSUES/EDUC,SEM: ISSUES IN EDUC,12:00:00,12:50:00,MWF,HAL,115,22,26
EDUC 488  B,SEM:ISSUES EDUC,SEM: ISSUES IN EDUC,11:00:00,11:50:00,MWF,HAL,115,22,26
ELEE 202  A,LINEAR CIRCUITS,LINEAR CIRCUITS II,10:05:00,10:55:00,TR,HAL,116,23,27
ELEE 204  A,DIGIT LOGIC DSN,DIGITAL LOGIC DESIGN,10:00:00,10:50:00,MWF,HH,118,36,43
ELEE 210  A,ELEC ENGR,ELECTRICAL ENGINEERING,11:00:00,11:50:00,MWF,HAL,108,42,50
ELEE 252  L,DIGIT CIRC LAB,DIGITAL CIRCUITS LABORATORY,14:00:00,16:50:00,M,HH,204,18,18
ELEE 252  M,DIGIT CIRC LAB,DIGITAL CIRCUITS LABORATORY,14:30:00,17:15:00,T,HH,204,18,18
ELEE 302  A,ELECTRONICS II,ELECTRONICS II,11:00:00,11:50:00,MWF,HH,113,16,19
ELEE 304  A,ELECTROMAG THEO,ELECTROMAGNETIC THEORY,8:00:00,8:50:00,R,HAL,115,14,14
ELEE 304  A,ELECTROMAG THEO,ELECTROMAGNETIC THEORY,10:00:00,10:50:00,MWF,HH,113,14,16
ELEE 306  A,DIGIT ELECTRON,DIGITAL ELECTRONICS,8:00:00,9:15:00,TR,HH,113,13,15
ELEE 310  A,EMBEDDED SYST,EMBEDDED SYSTEMS,9:00:00,9:50:00,MWF,HH,113,21,21
ELEE 310  L    L,EMBEDD SYST LAB,EMBEDDED SYST LAB,14:25:00,16:15:00,T,HH,113,21,25
ELEE 352  L,INTERMED LAB II,INTERMEDIATE LABORATORY II,14:00:00,16:50:00,W,HH,204,13,13
ELEE 360  A,INDEPENDENT STU,INDEPENDENT STUDY,NULL,NULL,,NULL,NULL,1,1
ELEE 390  B,STDY: CIRCUIT,STUDY: PRACTICAL CIRCUIT DESIGN,18:30:00,21:00:00,T,HAL,111,7,8
ELEE 404  A,ELEC ENERGY TRA,ELECTROMAG ENERGY TRANSMISS,11:30:00,12:45:00,TR,HH,215,3,3
ELEE 422  A,DSN-CONTROL SYS,DESIGN OF CONTROL SYST,9:00:00,9:50:00,MWF,HH,118,21,21
ELEE 432  A,COMM SYSTEM II,COMMUNICATION SYSTEMS II,10:00:00,10:50:00,MWF,STEM,376,11,11
ELEE 441  A,COMPUTER I,COMPUTER I,11:30:00,12:45:00,TR,HH,218,10,12
ELEE 442  A,COMPUTER II,COMPUTER II,11:00:00,11:50:00,MWF,HH,215,13,15
ELEE 452  L,EXPR ELEE II,EXPR ELEC ENGR II,14:00:00,16:50:00,M,HH,206,6,7
ELEE 452  M,EXPR ELEE II,EXPR ELEC ENGR II,14:00:00,16:50:00,T,HH,206,17,20
ELEE 460  A,INDEPENDENT STU,INDEPENDENT STUDY,NULL,NULL,,NULL,NULL,1,1
ENGL 202  A,ENGL LIT SURVEY,ENGLISH LIT SURVEY II,8:00:00,8:50:00,MWF,HAL,304,8,9
ENGL 202  B,ENGL LIT SURVEY,ENGLISH LIT SURVEY II,9:00:00,9:50:00,MWF,HAL,304,22,26
ENGL 204  A,AMER LIT SURVEY,AMER LIT SURVEY II,8:00:00,9:15:00,TR,HAL,214,13,15
ENGL 204  B,AMER LIT SURVEY,AMER LIT SURVEY II,10:05:00,11:20:00,TR,HAL,214,29,29
ENGL 206  A,WD LIT:AFRICA/,WORLD LIT:AFRICA/LATIN AMERICA,10:00:00,10:50:00,MWF,HAL,207,26,31
ENGL 254  A,THEATRE & THEO,THEATRE AND THEOLOGY,NULL,NULL,,OFFCP,NULL,8,8
ENGL 271  A,CREATIVE WRITE,CREATIVE WRITING,11:30:00,12:45:00,TR,HAL,305,19,22
ENGL 290  A,STDY: SAC LIT,STUDY: SACRAMENTAL LIT,10:05:00,11:20:00,TR,HAL,115,14,14
ENGL 304  A,CHAUCER & MIDDL,CHAUCER & MIDDLE AGES,13:00:00,13:50:00,MWF,HAL,215,11,11
ENGL 320  A,SOUTHERN LIT,SOUTHERN LITERATURE,14:00:00,14:50:00,MWF,HAL,215,31,37
ENGL 324  A,EUROPEAN LITERA,EUROPEAN LITERATURE,13:00:00,14:15:00,TR,HAL,323,25,30
ENGL 352  A,SHAKESPEARE II,SHAKESPEARE II,14:00:00,14:50:00,MWF,HAL,304,23,23
ENGL 352  A,SHAKESPEARE II,SHAKESPEARE II,15:00:00,16:59:00,W,HAL,304,23,27
ENGL 382  A,ADV POET WRITE,ADVANCED POETRY WRITING,10:05:00,11:20:00,TR,HAL,301,20,24
ENGL 450  A,LITERARY CRIT &,LITERARY CRIT & THEORY,11:00:00,11:50:00,MWF,HAL,215,16,19
ENGL 488  A,HONORS SEMINAR,HONORS SEMINAR,14:30:00,15:45:00,TR,HAL,305,6,7
ENGR 156  A,INTRO TO ENGR,INTRO TO ENGINEERING,13:00:00,13:50:00,MW,STEM,51,27,27
ENGR 156  B,INTRO TO ENGR,INTRO TO ENGINEERING,13:00:00,13:50:00,MF,STEM,51,20,24
ENGR 274  A,MATH METH ENGR,MATHEMATICAL METH- ENGINEERING,13:00:00,13:50:00,MWF,HH,218,30,36
ENGR 402  A,ENGR ECONOMY,ENGINEERING ECONOMY,8:00:00,8:50:00,MWF,HH,218,30,30
ENGR 402  B,ENGR ECONOMY,ENGINEERING ECONOMY,9:00:00,9:50:00,MWF,HH,218,34,40
ENTR 301  A,LEAN LAUNCH,LEAN LAUNCHPAD,18:30:00,21:00:00,M,HAL,214,32,38
ENTR 302  A,SALES  STARTUP,SALES IN THE STARTUP,14:00:00,14:50:00,MWF,HAL,302,32,38
ENTR 303  A,LAW FOR ENTR,LAW FOR THE ENTREPRENUER,18:30:00,21:00:00,W,HAL,116,21,21
ENTR 314  A,ENTRE MISSION,ENTREPRENEURSHIP: MISSION OF CHURCH,13:00:00,14:15:00,TR,HAL,316,23,27
ENTR 330  A,SEARCH ENGINE,SEARCH ENGINE OPTIMIZATION,10:00:00,10:50:00,MWF,HAL,214,21,25
ENTR 390  A,RESEARCH ENTR,STUDY: RESEARCH IN ENTREPRENEURSHIP,18:30:00,21:00:00,R,HAL,304,5,6
ENTR 408  A,SOCI ENTR PRAC,SOCIAL ENTREPRENUERSHIP PRACTICUM,14:30:00,15:45:00,TR,HAL,209,4,4
ENTR 409  A,INTERNET ENTR,INTERNET ENTREPRENEURSHIP,13:00:00,13:50:00,MWF,HAL,314,24,28
ENTR 423  A,FAM BUS MGT,FAMILY BUSINESS MGMT,12:00:00,12:50:00,MWF,HAL,204,10,12
ENTR 466  A,BUSINESS PLAN,BUSINESS PLANNING,18:30:00,21:00:00,T,HAL,314,17,17
ENTR 467  A,CORP HEALTHCARE,CORPORATE HEALTCHARE INNOVATION,15:00:00,17:00:00,F,HAL,309,9,10
ENTR 467  A,CORP HEALTHCARE,CORPORATE HEALTCHARE INNOVATION,18:30:00,20:00:00,W,HAL,304,9,9
EXER 101  A,INTRO TO EX SCI,INTRODUCTION TO EXERCISE SCIENCE,9:00:00,9:50:00,MW,HAL,114,25,30
EXER 220  A,WELLNESS PRO,WELLNESS PROMOTION AND PROGRAMMING,10:05:00,11:20:00,TR,HAL,323,18,18
EXER 221  A,PERS TRAINING,PERSONAL TRAINING,11:30:00,12:45:00,TR,HAL,109,14,16
EXER 223  A,RC LIFEGUARD TR,RED CROSS LIFEGUARD TRAINING,10:00:00,10:50:00,MWF,PLC,107,9,10
EXER 223  A,RC LIFEGUARD TR,RED CROSS LIFEGUARD TRAINING,10:00:00,10:50:00,WF,PLC,231,9,10
EXER 228  A,PHYS ED-ELEM ED,PHYS ED FOR ELEMENTARY EDUCATORS,12:00:00,12:50:00,W,HAL,105,24,24
EXER 233  A,DES RESIST TRAI,DESIGN RESIST TRAINING PROGRAMS,8:00:00,8:50:00,TR,PLC,231,7,7
EXER 235  A,FACILITY MGT,FACILITY MANAGEMENT,10:05:00,10:55:00,TR,PLC,231,20,24
EXER 251  A,PREVENT CARE,PREVENTION AND CARE OF INJURIES,8:00:00,8:50:00,WF,PLC,231,19,22
EXER 254  A,NUTRITION-SPORT,NUTRITION IN SPORTS & EXERCISE,8:00:00,9:15:00,TR,HAL,113,18,21
EXER 256  A,PHYS OF EXER,PHYSIOLOGY OF EXERCISE,8:00:00,8:50:00,MWF,HAL,204,15,18
EXER 256  L    L,LABORATORY,LABORATORY,9:00:00,9:50:00,W,PLC,131A,6,7
EXER 256  M    L,LABORATORY,LABORATORY,9:00:00,9:50:00,F,PLC,131A,3,3
EXER 256  N    L,LAB,LABORATORY,11:00:00,11:50:00,M,PLC,131A,6,6
EXER 258  A,ANAT & PHYS II,ANATOMY AND PHYSIOLOGY II,8:00:00,9:15:00,TR,HAL,212,20,20
EXER 258  B,ANAT & PHYS II,ANATOMY AND PHYSIOLOGY II,14:00:00,14:50:00,MWF,HAL,115,6,7
EXER 258  L    L,LAB,LABORATORY,10:05:00,10:55:00,T,PLC,131A,10,12
EXER 258  M    L,LAB,LABORATORY,10:05:00,10:55:00,R,PLC,131A,9,9
EXER 258  N    L,LAB,LABORATORY,15:00:00,15:50:00,W,PLC,131A,4,4
EXER 258  O    L,LAB,LABORATORY,15:00:00,15:50:00,F,PLC,131A,4,4
EXER 303  A,EXER PSYC,EXERCISE PSYCHOLOGY,13:00:00,14:15:00,TR,HAL,109,29,34
EXER 304  A,EXERCISE TEST,EXERCISE TESTING,13:00:00,13:50:00,MWF,PLC,130A,9,10
EXER 305  A,BASE PRIN COACH,BASIC PRIN OF COACHING,12:00:00,12:50:00,WF,HAL,301,19,22
EXER 306  A,EXER LEADERSHIP,EXERCISE LEADERSHIP,14:00:00,16:00:00,M,PLC,233,9,10
EXER 306  B,EXER LEADERSHIP,EXERCISE LEADERSHIP,11:00:00,11:50:00,WF,PLC,233,11,11
EXER 307  A,EXER PRESCRIPT,EXERCISE PRESCRIPTION,8:00:00,9:15:00,TR,HAL,111,22,26
EXER 309  A,BIOMECHANICS,BIOMECHANICS,10:00:00,10:50:00,MWF,RH,SEM,18,21
EXER 312  A,CLIN EXERS PHYS,CLINICAL EXERCISE PHYSIOLOGY,12:00:00,12:50:00,MWF,HAL,323,16,16
EXER 370  B,INDEPEND RSRCH,INDEPENDENT RESEARCH,NULL,NULL,,NULL,NULL,1,1
EXER 377  A,RSRCH METH EXER,RESEARCH METHODS IN EXER SCI,14:30:00,15:45:00,TR,HAL,204,9,9
EXER 402  A,HEALTH FITNESS,HEALTH FITNESS SPECIALIST,11:30:00,12:45:00,TR,PLC,131A,4,4
EXER 403  A,PRINC OF STREN,PRINCIPLES OF STRENGTH & CONDITION,11:30:00,12:45:00,TR,PLC,231,9,9
EXER 404  A,CERT-CSCS,PROFESSIONAL CERTIFICATION-CSCS,NULL,NULL,,BAO,NULL,15,18
EXER 404  B,CERT-HFS,PROFESSIONAL CERTIFICATION-HFS,NULL,NULL,,BAO,NULL,3,3
EXER 407  A,RESRCH PRAC,RESEARCH PRACTICUM,14:30:00,15:45:00,TR,HAL,116,17,20
EXER 470  A,INDEPEND RSRCH,INDEPENDENT RESEARCH,NULL,NULL,,NULL,NULL,1,1
EXER 480  A,INTERN IN EXER,INTERNSHIP IN EXERCISE SCIENCE,NULL,NULL,,NULL,NULL,1,1
EXER 480  B,INTERN IN EXER,INTERNSHIP IN EXERCISE SCIENCE,NULL,NULL,,NULL,NULL,2,2
FREN 102  A,ELEM FRENCH II,ELEMENT FRENCH II,9:00:00,9:50:00,MWF,HAL,101,9,9
FREN 102  B,ELEM FRENCH II,ELEMENT FRENCH II,14:00:00,14:50:00,MWF,HAL,101,11,11
FREN 202  A,INTERM FREN II,INTERMED FRENCH II,9:00:00,9:50:00,MWF,HAL,201,16,19
FREN 202  B,INTERM FREN II,INTERMED FRENCH II,14:00:00,14:50:00,MWF,HAL,201,12,12
FREN 308  A,PHONETICS & LIN,PHONETICS & LINGUISTICS,10:00:00,10:50:00,MWF,HAL,101,8,9
FREN 331  A,POETRY,POETRY,11:00:00,11:50:00,MWF,HAL,201,9,10
FREN 340  A,ADV CONV & CULT,ADV CONV & CONTEMP CULT,11:30:00,12:45:00,TR,HAL,101,6,7
GEOL 201  A,GEOLOGY,GEOLOGY,8:00:00,9:15:00,TR,RO,102,7,8
GERM 102  A,ELEM GERMAN II,ELEMENT GERMAN II,11:30:00,12:45:00,TR,HAL,301,11,13
GERM 202  A,INTERM GERM II,INTERMED GERMAN II,14:30:00,15:45:00,TR,HAL,111,9,10
GOBL 260  A,INDEPENDENT STU,INDEPENDENT STUDY,18:30:00,21:30:00,T,HAL,110,1,1
GOBL 300  A,INTERNA MANNERS,INTERNA MANNERS & MORES,13:00:00,14:15:00,TR,HAL,309,16,19
GOBL 360  A,INDEPENDENT STU,INDEPENDENT STUDY,18:30:00,21:30:00,T,HAL,110,9,9
GREK 102  A,INT NT GREEK II,INTRO NEW TEST GREEK II,15:00:00,15:50:00,MWF,HAL,111,8,9
GREK 202  A,READ IN N TEST,READINGS IN NEW TEST GREEK II,10:00:00,10:50:00,MWF,HAL,111,7,8
HIST 120  A,FOUN OF HIST,FOUNDATIONS OF HISTORY,9:00:00,9:50:00,MWF,HAL,302,23,27
HIST 201  A,HISTORIOGRAPHY,HISTORIOGRAPHY,10:05:00,11:20:00,TR,HAL,307,12,14
HIST 204  A,HIST/PHIL FOUN,HIST/PHIL FOUNDATIONS OF EDUCATION,13:00:00,13:50:00,MWF,HAL,114,18,18
HIST 212  A,MODERN EUROPE,MODERN EUROPE,15:00:00,15:50:00,MWF,HAL,314,12,14
HIST 252  A,US SURVEY II,U.S. SURVEY II,9:00:00,9:50:00,MWF,HAL,310,56,56
HIST 261  A,BRIT HIS-1781,BRITISH HIST TO 1781,13:00:00,13:50:00,MWF,HAL,207,15,18
HIST 285  A,HIST US SINCE,HISTORY OF U.S. SINCE 1865,10:00:00,10:50:00,MWF,HAL,302,32,32
HIST 290  A,VISION/VALUES,STUDY: VISION AND VALUES CONF,NULL,NULL,,NULL,NULL,1,1
HIST 346  A,BYZANTIUM/ISLAM,BYZANTIUM & ISLAM,11:00:00,11:50:00,MWF,HAL,114,18,18
HIST 350  A,SPORTS-AMER HIS,SPORTS IN AMERICAN HISTORY,10:05:00,11:20:00,TR,HAL,316,18,21
HIST 357  A,MINORITIES IN A,MINORITIES IN AMER HIST,14:30:00,15:45:00,TR,HAL,314,16,19
HIST 390  A,STDY: WARFARE,STUDY: GLOBAL HISTORY OF WARFARE,13:00:00,13:50:00,MWF,HAL,304,25,30
HIST 400  A,SR RSRCH SEM,SENIOR RESEARCH SEMINAR,14:00:00,16:30:00,M,HAL,307,8,9
HIST 410  A,SEM CLASS &,SEMINAR IN CLASSICAL & CHRISTIAN ED,10:00:00,10:50:00,MWF,HAL,307,9,10
HUMA 102  A,CIV/BIB REV,CIV/BIBLICAL REVELATION,8:00:00,8:50:00,MWF,HAL,214,18,21
HUMA 102  B,CIV/BIB REV,CIV/BIBLICAL REVELATION,9:00:00,9:50:00,MWF,HAL,214,28,28
HUMA 102  C,CIV/BIB REV,CIV/BIBLICAL REVELATION,12:00:00,12:50:00,MWF,HAL,316,22,22
HUMA 102  D,CIV/BIB REV,CIV/BIBLICAL REVELATION,13:00:00,13:50:00,MWF,HAL,204,10,12
HUMA 102  E,CIV/BIB REV,CIV/BIBLICAL REVELATION,14:00:00,14:50:00,MWF,HAL,204,7,8
HUMA 102  F,CIV/BIB REV,CIV/BIBLICAL REVELATION,8:00:00,9:15:00,TR,HAL,110,28,33
HUMA 102  G,CIV/BIB REV,CIV/BIBLICAL REVELATION,10:05:00,11:20:00,TR,HAL,110,29,34
HUMA 102  H,CIV/BIB REV,CIV/BIBLICAL REVELATION,10:05:00,11:20:00,TR,HAL,312,30,30
HUMA 102  I,CIV/BIBLICAL RE,CIV/BIBLICAL REVELATION,11:30:00,12:45:00,TR,HAL,110,28,33
HUMA 102  J,CIV/BIBLICAL RE,CIV/BIBLICAL REVELATION,8:00:00,9:15:00,TR,HAL,323,21,25
HUMA 201  A,CIV/SPEC MIND,CIV/SPECULATIVE MIND,8:00:00,8:50:00,MWF,HAL,114,22,26
HUMA 201  B,CIV/SPECULATIVE,CIV/SPECULATIVE MIND,12:00:00,12:50:00,MWF,HAL,216,23,27
HUMA 201  C,CIV/SPECULATIVE,CIV/SPECULATIVE MIND,14:00:00,14:50:00,MWF,HAL,314,25,30
HUMA 201  D,CIV/SPEC MIND,CIV/SPECULATIVE MIND,18:30:00,21:00:00,M,HAL,316,25,30
HUMA 201  E,CIV/SPEC MIND,CIV/SPECULATIVE MIND,18:30:00,21:00:00,W,HAL,314,24,28
HUMA 201  F,CIV/SPECULATIVE,CIV/SPECULATIVE MIND,8:00:00,9:15:00,TR,HAL,215,23,27
HUMA 201  G,CIV/SPEC MIND,CIV/SPECULATIVE MIND,10:05:00,11:20:00,TR,HAL,306,24,24
HUMA 201  H,CIV SPEC MIND,CIV SPECULATIVE MIND,10:05:00,11:20:00,TR,HAL,314,24,24
HUMA 201  I,CIV SPECULATIVE,CIV SPECULATIVE MIND,11:30:00,12:45:00,TR,HAL,314,23,27
HUMA 201  J,CIV/SPECULATIVE,CIV/SPECULATIVE MIND,13:00:00,14:15:00,TR,HAL,302,24,28
HUMA 201  K,CIV/SPECULATIVE,CIV/SPECULATIVE MIND,11:30:00,12:45:00,TR,HAL,215,24,28
HUMA 201  L,CIV/SPECULATIVE,CIV/SPECULATIVE MIND,14:30:00,15:45:00,TR,HAL,302,25,30
HUMA 202  A,CIV/LITERATURE,CIV/LITERATURE,11:00:00,11:50:00,MWF,HAL,302,34,40
HUMA 202  B,CIV/LITERATURE,CIV/LITERATURE,14:00:00,14:50:00,MWF,HAL,112,32,38
HUMA 202  C,CIV/LITERATURE,CIV/LITERATURE,15:00:00,15:50:00,MWF,HAL,112,32,32
HUMA 202  D,CIV/LITERATURE,CIV/LITERATURE,11:30:00,12:45:00,TR,HAL,212,34,40
HUMA 202  E,CIV/LITERATURE,CIV/LITERATURE,13:00:00,14:15:00,TR,PFAC,69,32,32
HUMA 202  F,CIV/LITERATURE,CIV/LITERATURE,13:00:00,14:15:00,TR,HAL,212,32,38
HUMA 202  G,CIV/LITERATURE,CIV/LITERATURE,14:30:00,15:45:00,TR,HAL,216,32,38
HUMA 301  A,CIV/THE ARTS,CIV/THE ARTS,8:00:00,8:50:00,MWF,PFAC,112,35,42
HUMA 301  B,CIV/THE ARTS,CIV/THE ARTS,9:00:00,9:50:00,MWF,PFAC,112,37,44
HUMA 301  C,CIV/THE ARTS,CIV/THE ARTS,10:00:00,10:50:00,MWF,PFAC,69,40,48
HUMA 301  D,CIV/THE ARTS,CIV/THE ARTS,12:00:00,12:50:00,MWF,PFAC,68,38,45
HUMA 301  E,CIV/THE ARTS,CIV/THE ARTS,13:00:00,13:50:00,MWF,PFAC,68,38,45
HUMA 301  F,CIV/THE ARTS,CIV/THE ARTS,14:30:00,15:45:00,TR,PFAC,112,38,45
HUMA 301  G,CIV/THE ARTS,CIV/THE ARTS,14:30:00,15:45:00,TR,PFAC,68,37,44
HUMA 302  A,MODERN CIV/INTL,MODERN CIV/INTL PERSP,12:00:00,12:50:00,MWF,HAL,304,38,45
HUMA 302  B,MODERN CIV/INTL,MODERN CIV/INTL PERSP,13:00:00,13:50:00,MWF,HAL,312,41,49
HUMA 302  C,MODERN CIV/INTL,MODERN CIV/INTL PERSP,15:00:00,15:50:00,MWF,HAL,310,55,66
HUMA 302  D,MODERN CIV/INTL,MODERN CIV/INTL PERSP,10:05:00,11:20:00,TR,HAL,204,40,40
HUMA 302  E,MODERN CIV/INTL,MODERN CIV/INTL PERSP,11:30:00,12:45:00,TR,HAL,204,38,45
HUMA 302  F,MODERN CIV/INTL,MODERN CIV/INTL PERSP,13:00:00,14:15:00,TR,HAL,308,40,48
HUMA 302  G,MODERN CIV/INTL,MODERN CIV/INTL PERSP,14:30:00,15:45:00,TR,HAL,308,38,45
HUMA 302  H,MODERN CIV/INTL,MODERN CIV/INTL PERSP,14:30:00,15:45:00,TR,HAL,316,37,37
LATN 102  A,ELEM LATIN II,ELEMENTARY LATIN II,9:00:00,9:50:00,MWF,HAL,305,14,16
LEGL 322  A,PROPERTY FREEDO,"PROPERTY:FREEDOMS,RIGHTS, RESTRICT",14:30:00,15:45:00,TR,HAL,109,4,4
MATH 111  A,PRE CALCULUS,PRE CALCULUS,14:30:00,15:45:00,TR,HAL,113,22,22
MATH 117  A,FINITE MATH,FINITE MATH,11:30:00,12:45:00,TR,HAL,116,34,34
MATH 117  B,FINITE MATH,FINITE MATH,13:00:00,14:15:00,TR,HAL,204,35,35
MATH 141  A,BUS CALCULUS,BUSINESS CALCULUS,14:00:00,14:50:00,MWF,HAL,210,34,34
MATH 141  A,BUS CALCULUS,BUSINESS CALCULUS,14:30:00,15:45:00,T,HAL,210,34,40
MATH 141  B,BUSINESS CALCUL,BUSINESS CALCULUS,9:00:00,9:50:00,MWF,HAL,112,35,35
MATH 141  B,BUSINESS CALCUL,BUSINESS CALCULUS,10:05:00,10:55:00,R,HAL,112,35,35
MATH 152  A,SURVEY MATH II,SURVEY MATHEMATICS II,11:00:00,11:50:00,MWF,HAL,214,29,34
MATH 152  B,SURVEY MATH II,SURVEY MATHEMATICS II,12:00:00,12:50:00,MWF,HAL,214,25,25
MATH 161  A,CALCULUS I,CALCULUS I,12:00:00,12:50:00,MWF,HAL,210,26,31
MATH 161  A,CALCULUS I,CALCULUS I,13:00:00,13:50:00,T,HAL,210,26,31
MATH 161  B,CALCULUS I,CALCULUS I,13:00:00,13:50:00,MWRF,HAL,210,25,30
MATH 162  A,CALCULUS II,CALCULUS II,8:00:00,8:50:00,MF,HAL,112,23,23
MATH 162  A,CALCULUS II,CALCULUS II,8:25:00,9:15:00,TR,HAL,112,23,23
MATH 162  B,CALCULUS II,CALCULUS II,18:30:00,20:20:00,MW,HAL,306,24,28
MATH 162  C,CALCULUS II,CALCULUS II,11:00:00,11:50:00,MWF,HAL,306,22,26
MATH 162  C,CALCULUS II,CALCULUS II,11:30:00,12:20:00,T,HAL,306,22,26
MATH 162  D,CALCULUS II,CALCULUS II,12:00:00,12:50:00,MWF,HAL,110,26,31
MATH 162  D,CALCULUS II,CALCULUS II,13:00:00,13:50:00,R,HAL,110,26,31
MATH 162  E,CALCULUS II,CALCULUS II,13:00:00,13:50:00,MTWF,HAL,110,14,16
MATH 214  A,APPLIED PROB,APPLIED PROBABLITY AND LINEAR ALG,13:00:00,13:50:00,MWF,HAL,214,31,37
MATH 222  A,LINEAR ALGEBRA,LINEAR ALGEBRA,10:00:00,10:50:00,MWF,HAL,209,12,14
MATH 222  A,LINEAR ALGEBRA,LINEAR ALGEBRA,10:05:00,10:55:00,T,HAL,209,12,14
MATH 222  B,LINEAR ALGEBRA,LINEAR ALGEBRA,10:05:00,10:55:00,R,HAL,209,14,16
MATH 222  B,LINEAR ALGEBRA,LINEAR ALGEBRA,11:00:00,11:50:00,MWF,HAL,209,14,16
MATH 240  A,MATH FOR SEC ED,MATH FOR SEC ED,14:30:00,15:45:00,TR,HAL,112,2,2
MATH 261  A,CALCULUS III,CALCULUS III,10:00:00,10:50:00,MWF,HAL,112,24,28
MATH 261  A,CALCULUS III,CALCULUS III,10:05:00,10:55:00,T,HAL,112,24,24
MATH 262  A,DIFF EQUATIONS,DIFFERENTIAL EQUATIONS,10:00:00,10:50:00,MWF,HAL,216,27,32
MATH 262  B,DIFF EQUATIONS,DIFFERENTIAL EQUATIONS,11:00:00,11:50:00,MWF,HAL,216,30,36
MATH 262  C,DIFF EQUATIONS,DIFFERENTIAL EQUATIONS,12:00:00,12:50:00,MWF,HAL,112,36,43
MATH 262  D,DIFF EQUATIONS,DIFFERENTIAL EQUATIONS,13:00:00,13:50:00,MWF,HAL,112,30,36
MATH 263  A,NUM DIFF EQUAT,NUMERICAL DIFFERENTIAL EQUATIONS,11:30:00,12:20:00,R,HAL,306,8,9
MATH 303  A,COLL GEOMETRY,COLLEGE GEOMETRY,8:00:00,8:50:00,MWF,HAL,111,7,7
MATH 306  A,ACTUARIAL MATH,ACTUARIAL MATHEMATICS,NULL,NULL,,TBA,NULL,4,4
MATH 332  A,THEORY STATISTI,THEORY STATISTICS II,13:00:00,14:15:00,TR,HAL,111,10,12
MATH 360  A,INDEPENDENT STU,INDEPENDENT STUDY,NULL,NULL,,NULL,NULL,2,2
MATH 421  A,ABSTRACT ALGEBR,ABSTRACT ALGEBRA,10:00:00,10:50:00,MWF,HAL,305,9,9
MATH 422  A,NUMBER THEORY,NUMBER THEORY,9:00:00,9:50:00,MWF,HAL,111,5,6
MATH 465  A,CLASSICAL ANALY,CLASSICAL ANALYSIS,14:00:00,14:50:00,MWF,HAL,209,7,8
MATH 466  A,INTERMEDIATE AN,INTERMEDIATE ANALYSIS,13:00:00,13:50:00,MWF,HAL,306,5,5
MATH 488  A,SEMINAR IN MATH,SEMINAR IN MATHEMATICS,15:00:00,15:50:00,MWF,HAL,305,8,9
