CourseCode,ShortTitle,LongTitle,BeginTime,EndTime,Meets,Building,Room,Enrollment,Capacity
BIOL 320  A,CONS/WILDLIFE,CONSERVATION/WILDLIFE BIOLOGY,8:00:00,8:50:00,MWF,RO,102,27,32
BIOL 320  L    L,LABORATORY,LABORATORY,14:00:00,16:59:00,M,RO,65,27,27
BIOL 326  A,EVOL BIOL,EVOLUTIONARY BIOLOGY,10:05:00,11:20:00,TR,STEM,245,17,20
BIOL 334  A,BIOC FOR BIOL,BIOCHEMISTRY FOR BIOLOGY,12:00:00,12:50:00,MWF,HAL,114,35,35
BIOL 346  A,MAMMAL PHYSIO,MAMMALIAN PHYSIOLOGY,11:00:00,11:50:00,MWF,HAL,210,54,64
BIOL 346  L    L,LABORATORY,LABORATORY,13:00:00,14:59:00,T,STEM,245,19,22
BIOL 346  M    L,LABORATORY,LABORATORY,15:00:00,16:59:00,T,STEM,245,12,14
BIOL 346  N    L,LABORATORY,LABORATORY,13:00:00,14:59:00,W,STEM,245,23,27
BIOL 370  A,IND RESEARCH,INDEPENDENT RESEARCH,NULL,NULL,,NULL,NULL,1,1
BIOL 470  A,IND RESEARCH,INDEPENDENT RESEARCH,NULL,NULL,,NULL,NULL,3,3
BIOL 470  B,IND RESEARCH,INDEPENDENT RESEARCH,NULL,NULL,,NULL,NULL,1,1
BIOL 470  C,IND RESEARCH,INDEPENDENT RESEARCH,NULL,NULL,,NULL,NULL,1,1
BIOL 480  A,INTERN IN BIOL,INTERNSHIP IN BIOLOGY,NULL,NULL,,NULL,NULL,1,1
BIOL 484  A,ISSUES ENV EDUC,ISSUES IN ENVIRONMENTAL EDUCATION,9:00:00,9:50:00,MW,STEM,140B,11,13
BIOL 486  A,SEM:BIO TCHRS,SEM  FOR BIOL TEACHERS,13:00:00,13:50:00,R,RO,124,3,3
BIOL 488  A,SEMINAR IN BIOL,SEMINAR IN BIOLOGY,13:00:00,13:50:00,M,STEM,140B,16,16
BIOL 488  B,SEMINAR IN BIOL,SEMINAR IN BIOLOGY,14:00:00,14:50:00,M,STEM,160B,10,10
BUSA 201  A,BUS STATISTICS,BUSINESS STATISTICS,8:00:00,8:50:00,MWF,HAL,312,39,46
BUSA 201  B,BUSINESS STATIS,BUSINESS STATISTICS,14:30:00,15:45:00,TR,HAL,208,47,56
BUSA 203  A,PRIN MGT/LEADER,PRIN OF MANAGEMENT & LEADERSHIP,11:00:00,11:50:00,MWF,HAL,308,47,56
BUSA 203  B,PRIN MGT/LEADER,PRIN OF MANAGEMENT & LEADERSHIP,12:00:00,12:50:00,MWF,HAL,308,46,55
BUSA 204  A,PRIN OF MARKET,PRINCIPLES OF MARKETING,10:00:00,10:50:00,MWF,HAL,314,33,39
